time,received,sent,multicast
2025-07-25 22:21:06,0,0,0
2025-07-25 22:21:05,0,0,0
2025-07-25 22:21:04,0.3208331,-0.3208331,0
2025-07-25 22:21:03,0.9997721,-0.9997721,0
2025-07-25 22:21:02,0.9999675,-0.9999675,0
2025-07-25 22:21:01,0.9998343,-0.9998343,0
2025-07-25 22:21:00,0.999642,-0.999642,0
2025-07-25 22:20:59,1.000104,-1.000104,0
2025-07-25 22:20:58,1.0000732,-1.0000732,0
2025-07-25 22:20:57,1.0003309,-1.0003309,0
2025-07-25 22:20:56,1.0001089,-1.0001089,0
2025-07-25 22:20:55,1.0001071,-1.0001071,0
2025-07-25 22:20:54,1.0000336,-1.0000336,0
2025-07-25 22:20:53,1.0000381,-1.0000381,0
2025-07-25 22:20:52,1.0000331,-1.0000331,0
2025-07-25 22:20:51,1.0001924,-1.0001924,0
2025-07-25 22:20:50,1.0002706,-1.0002706,0
2025-07-25 22:20:49,0.9992666,-0.9992666,0
2025-07-25 22:20:48,1.0000336,-1.0000336,0
2025-07-25 22:20:47,1.0001373,-1.0001373,0
2025-07-25 22:20:46,1.0002122,-1.0002122,0
2025-07-25 22:20:45,0.9997598,-0.9997598,0
2025-07-25 22:20:44,0.9999598,-0.9999598,0
2025-07-25 22:20:43,1.0001047,-1.0001047,0
2025-07-25 22:20:42,1.0001309,-1.0001309,0
2025-07-25 22:20:41,0.9998354,-0.9998354,0
2025-07-25 22:20:40,1.0000827,-1.0000827,0
2025-07-25 22:20:39,1.0003845,-1.0003845,0
2025-07-25 22:20:38,16450.628,-1.6443697,0
2025-07-25 22:20:37,124564.37,-2.356218,0
2025-07-25 22:20:36,216395.4,-0.9996156,0
2025-07-25 22:20:35,56879.59,-0.9996896,0
2025-07-25 22:20:34,1.0000549,-1.0000549,0
2025-07-25 22:20:33,1.0000973,-1.0000973,0
2025-07-25 22:20:32,0.6787059,-0.6787059,0
2025-07-25 22:20:31,0,0,0
2025-07-25 22:20:30,0,0,0
2025-07-25 22:20:29,0,0,0
2025-07-25 22:20:28,0,0,0
2025-07-25 22:20:27,0,0,0
2025-07-25 22:20:26,0,0,0
2025-07-25 22:20:25,0,0,0
2025-07-25 22:20:24,0,0,0
2025-07-25 22:20:23,0,0,0
2025-07-25 22:20:22,0,0,0
2025-07-25 22:20:21,0,0,0
